region, century, deathcount
Malta, 19, 16,
Turkey, 19, 5,
UK, 19, 864,
Iran, 19, 3,
Italy, 19, 147,
USA, 19, 684,
France, 19, 710,
China, 19, 26,
Russia, 19, 72,
Greece, 19, 18,
Finland, 19, 17,
Sweden, 19, 84,
Denmark, 19, 112,
Latvia, 19, 8,
Norway, 19, 54,
Austria, 19, 205,
Australia, 19, 185,
Vietnam, 19, 16,
Uganda, 19, 7,
Bermuda, 19, 6,
Netherlands, 19, 87,
Belgium, 19, 126,
Madagascar, 19, 4,
Chile, 19, 66,
Philippines, 19, 13,
Bulgaria, 19, 12,
Canada, 19, 88,
Myanmar, 19, 7,
Germany, 19, 216,
Hungary, 19, 18,
Spain, 19, 116,
Slovakia, 19, 9,
Romania, 19, 28,
Poland, 19, 47,
Falkland Islands, 19, 2,
Peru, 19, 38,
Mexico, 19, 70,
Ecuador, 19, 14,
Pakistan, 19, 5,
Brazil, 19, 38,
Argentina, 19, 65,
Scotland, 19, 63,
Ireland, 19, 63,
Estonia, 19, 9,
Haiti, 19, 15,
New Zealand, 19, 52,
Liberia, 19, 10,
Switzerland, 19, 65,
Zimbabwe, 19, 1,
Czech Republic, 19, 23,
Thailand, 19, 34,
Montserrat, 19, 9,
Colombia, 19, 17,
Portugal, 19, 34,
Guernsey, 19, 4,
Venezuela, 19, 22,
Sri Lanka, 19, 11,
Saudi Arabia, 19, 1,
Mauritania, 19, 1,
Kosovo, 19, 2,
Japan, 19, 59,
Cuba, 19, 13,
Bolivia, 19, 12,
Yemen, 19, 2,
Nepal, 19, 4,
Solomon Islands, 19, 2,
Algeria, 19, 5,
Belarus, 19, 1,
Iceland, 19, 2,
El Salvador, 19, 6,
Costa Rica, 19, 7,
Puerto Rico, 19, 3,
Barbados, 19, 4,
Fiji, 19, 3,
Gibraltar, 19, 4,
Trinidad, 19, 4,
Isle of Man, 19, 3,
India, 19, 32,
Malaysia, 19, 4,
Wales, 19, 1,
South Korea, 19, 4,
Indonesia, 19, 2,
Paraguay, 19, 5,
Dominican Republic, 19, 6,
Lebanon, 19, 7,
Luxembourg, 19, 6,
