region, deathcount
Ireland, 75
Turkey, 141
Serbia, 155
Bosnia And Herzegovina, 37
Switzerland, 175
United States, 2940
Bangladesh, 114
Canada, 756
India, 730
Netherlands, 292
United Kingdom, 661
Malta, 17
Singapore, 63
Indonesia, 101
Trinidad And Tobago, 9
American Samoa, 5
Sri Lanka, 87
South Africa, 184
Egypt, 89
Iran, 138
Pakistan, 205
France, 849
Morocco, 38
Italy, 639
Zimbabwe, 35
Mexico, 380
Spain, 382
Nigeria, 66
Angola, 7
Argentina, 239
Portugal, 96
Croatia, 163
Bolivia, 17
Philippines, 214
Armenia, 37
Paraguay, 21
Azerbaijan, 50
Albania, 40
Russia, 670
Poland, 245
Bulgaria, 85
Ukraine, 119
Belarus, 16
Romania, 131
Sweden, 259
Thailand, 68
Northern Cyprus, 9
Hungary, 200
Luxembourg, 15
Austria, 165
Germany, 845
Greece, 132
Kyrgyzstan, 6
Moldova, 15
Kazakhstan, 15
Slovenia, 73
Czech Republic, 146
Australia, 424
Solomon Islands, 10
New Zealand, 206
Belgium, 195
Rwanda, 4
South Korea, 71
Cameroon, 16
Colombia, 83
Japan, 265
Belize, 8
Dominican Republic, 38
Guam, 9
Kenya, 60
Guatemala, 22
Mauritius, 7
Brazil, 267
Sierra Leone, 12
Finland, 135
Afghanistan, 69
Norway, 138
Denmark, 100
Palau, 1
Vietnam, 22
Somalia, 31
Scotland, 29
Venezuela, 96
Chile, 60
Guinea-Bissau, 4
Guyana, 7
Syria, 54
Seychelles, 1
Lebanon, 43
Haiti, 25
Libya, 28
Puerto Rico, 28
Peru, 39
Ecuador, 21
Algeria, 32
Democratic Republic Of The Congo, 13
Isle Of Man, 16
Uruguay, 45
Cuba, 56
Botswana, 4
Montenegro, 3
Uzbekistan, 10
Ethiopia, 10
Ghana, 34
El Salvador, 20
Costa Rica, 22
Republic Of The Congo, 3
French Polynesia, 3
Nicaragua, 9
Vatican City, 3
Lithuania, 20
Kosovo, 8
Saudi Arabia, 40
Jordan, 27
Latvia, 22
Nepal, 28
Jersey, 4
Burkina Faso, 4
Senegal, 12
Montserrat, 6
Yemen, 17
United Arab Emirates, 14
Cook Islands, 2
Iraq, 78
Papua New Guinea, 7
Malaysia, 73
Nagorno-Karabakh Republic, 1
Estonia, 30
Honduras, 27
Panama, 12
Bermuda, 8
Faroe Islands, 5
Barbados, 11
Myanmar, 37
Palestine, 28
Sudan, 13
Tunisia, 26
Mali, 10
Niger, 2
Bahrain, 13
Kuwait, 9
Tajikistan, 6
Central African Republic, 3
Eritrea, 3
Fiji, 20
Tonga, 2
China, 155
Iceland, 8
Gibraltar, 9
Mozambique, 5
Guernsey, 7
Malawi, 9
Monaco, 19
Slovakia, 46
Saint Lucia, 8
United Kingdom Northern Ireland, 8
Wales, 11
Namibia, 15
New Caledonia, 4
Cambodia, 15
Laos, 3
Zambia, 22
North Korea, 8
Qatar, 6
Norfolk Island, 1
Comoros, 1
San Marino, 2
Madagascar, 4
Uganda, 20
Cape Verde, 2
Georgia, 4
Turks And Caicos Islands, 1
Saint Kitts And Nevis, 1
Nauru, 4
Tanzania, 16
Cayman Islands, 4
Chad, 1
Liberia, 10
Swaziland, 1
Turkmenistan, 3
Mongolia, 4
Vanuatu, 4
Grenada, 5
Northern Mariana Islands, 5
Suriname, 4
Republic Of China (Taiwan), 6
Benin, 5
Liechtenstein, 5
Abkhazia, 2
Samoa, 6
Gabon, 3
Federated States Of Micronesia, 3
Djibouti, 1
United States Virgin Islands, 4
British Virgin Islands, 4
Western Sahara, 1
Sint Maarten, 2
Tuvalu, 2
Maldives, 2
South Sudan, 1
Guinea, 5
East Timor (Timor-Leste), 1
Easter Island, 1
Marshall Islands, 2
Oman, 2
Equatorial Guinea, 1
South Ossetia, 1
Burundi, 2
Togo, 1
Saint Vincent And The Grenadines, 1
Macedonia, 3
Brunei, 1
Dominica, 1
Antigua And Barbuda, 2
Niue, 2
Pitcairn Islands, 1
Wallis And Futuna, 1
