region, Percentage_Deathcount
Malta, 0.36
Turkey, 0.11
United Kingdom, 5.37
Iran, 0.07
Italy, 3.28
United States, 15.24
France, 15.82
China, 0.58
Russia, 1.6
Greece, 0.4
Finland, 0.38
Sweden, 1.87
Denmark, 2.5
Latvia, 0.18
Norway, 1.2
Austria, 4.57
Australia, 4.12
Vietnam, 0.36
Uganda, 0.16
Bermuda, 0.13
Netherlands, 1.94
Belgium, 2.81
Madagascar, 0.09
Chile, 1.47
Philippines, 0.29
Bulgaria, 0.27
Canada, 1.96
Myanmar, 0.16
Germany, 4.81
Hungary, 0.4
Spain, 2.59
Slovakia, 0.2
Romania, 0.62
Poland, 1.05
Falkland Islands, 0.04
Peru, 0.85
Mexico, 1.56
Ecuador, 0.31
Pakistan, 0.11
Brazil, 0.85
Argentina, 1.45
Scotland, 1.4
Ireland, 1.4
Estonia, 0.2
Haiti, 0.33
New Zealand, 1.16
Liberia, 0.22
Switzerland, 1.45
Zimbabwe, 0.02
Czech Republic, 0.51
Thailand, 0.76
Montserrat, 0.2
Colombia, 0.38
Portugal, 0.76
Guernsey, 0.09
Venezuela, 0.49
Sri Lanka, 0.25
Saudi Arabia, 0.02
Mauritania, 0.02
Kosovo, 0.04
Japan, 1.31
Cuba, 0.29
Bolivia, 0.27
Yemen, 0.04
Nepal, 0.09
Solomon Islands, 0.04
Algeria, 0.11
Belarus, 0.02
Iceland, 0.04
El Salvador, 0.13
Costa Rica, 0.16
Puerto Rico, 0.07
Barbados, 0.09
Fiji, 0.07
Gibraltar, 0.09
Isle Of Man, 0.07
India, 0.71
Malaysia, 0.09
Wales, 0.02
South Korea, 0.09
Indonesia, 0.04
Paraguay, 0.11
Dominican Republic, 0.13
Lebanon, 0.16
Luxembourg, 0.13
Greenland, 0.04
Angola, 0.04
South Africa, 0.33
Mauritius, 0.11
Egypt, 0.36
Slovenia, 0.16
Libya, 0.04
Nicaragua, 0.02
Uruguay, 0.33
Liechtenstein, 0.02
Lithuania, 0.22
French Guiana, 0.02
Singapore, 0.04
Croatia, 0.2
Norfolk Island, 0.02
Georgia, 0.04
Nigeria, 0.04
Papua New Guinea, 0.02
Palestine, 0.02
Morocco, 0.04
Tunisia, 0.04
Laos, 0.02
Jersey, 0.09
United Kingdom Northern Ireland, 0.09
Ukraine, 0.07
Pitcairn Islands, 0.02
Sierra Leone, 0.11
Vanuatu, 0.02
Sudan, 0.04
Monaco, 0.09
Iraq, 0.02
Honduras, 0.07
Guatemala, 0.25
Syria, 0.04
Panama, 0.02
Serbia, 0.11
Namibia, 0.02
Bangladesh, 0.04
Senegal, 0.02
Samoa, 0.02
Niger, 0.02
Saint Helena, 0.02
Kyrgyzstan, 0.02
Brunei, 0.02
Azerbaijan, 0.04
Afghanistan, 0.02
Seychelles, 0.02
French Polynesia, 0.07
Ethiopia, 0.04
Oman, 0.02
Montenegro, 0.02
Cook Islands, 0.02
Suriname, 0.02
