region, year, deathcount
finland, 1800, 1
sweden, 1800, 1
bermuda, 1800, 2
france, 1800, 5
madagascar, 1800, 1
united states, 1800, 3
denmark, 1800, 1
austria, 1800, 6
spain, 1800, 1
italy, 1800, 1
united kingdom, 1800, 2
ireland, 1800, 1
peru, 1800, 1
thailand, 1800, 1
czech republic, 1800, 1
romania, 1800, 1
scotland, 1800, 1
norway, 1810, 1
netherlands, 1810, 1
france, 1810, 7
united states, 1810, 5
belgium, 1810, 1
slovakia, 1810, 1
poland, 1810, 1
scotland, 1810, 2
haiti, 1810, 1
spain, 1810, 2
colombia, 1810, 1
portugal, 1810, 1
united kingdom, 1810, 2
austria, 1810, 1
germany, 1810, 2
estonia, 1810, 1
sweden, 1810, 1
greece, 1820, 1
sweden, 1820, 1
italy, 1820, 1
denmark, 1820, 1
france, 1820, 5
philippines, 1820, 1
myanmar, 1820, 1
united states, 1820, 2
russia, 1820, 1
austria, 1820, 5
poland, 1820, 1
netherlands, 1820, 1
germany, 1820, 2
united kingdom, 1820, 5
thailand, 1820, 1
peru, 1820, 1
austria, 1830, 3
united kingdom, 1830, 4
vietnam, 1830, 1
france, 1830, 10
italy, 1830, 1
poland, 1830, 1
russia, 1830, 2
germany, 1830, 3
czech republic, 1830, 1
guernsey, 1830, 1
united states, 1830, 4
portugal, 1830, 1
iran, 1830, 1
finland, 1830, 1
chile, 1830, 1
italy, 1840, 1
france, 1840, 10
united states, 1840, 5
argentina, 1840, 1
united kingdom, 1840, 4
russia, 1840, 1
czech republic, 1840, 1
austria, 1840, 1
saudi arabia, 1840, 1
scotland, 1840, 1
bolivia, 1840, 1
iran, 1850, 1
france, 1850, 12
australia, 1850, 1
united states, 1850, 6
united kingdom, 1850, 5
belgium, 1850, 2
romania, 1850, 1
germany, 1850, 3
scotland, 1850, 1
montserrat, 1850, 1
norway, 1850, 2
brazil, 1850, 1
peru, 1850, 1
japan, 1850, 1
netherlands, 1850, 1
denmark, 1850, 1
finland, 1850, 1
china, 1850, 1
spain, 1850, 1
malta, 1860, 1
turkey, 1860, 1
united states, 1860, 7
china, 1860, 1
denmark, 1860, 3
greece, 1860, 2
belgium, 1860, 3
france, 1860, 13
chile, 1860, 1
canada, 1860, 2
netherlands, 1860, 2
germany, 1860, 2
austria, 1860, 4
falkland islands, 1860, 1
australia, 1860, 1
united kingdom, 1860, 2
switzerland, 1860, 1
portugal, 1860, 1
brazil, 1860, 1
italy, 1860, 2
mexico, 1860, 1
sweden, 1860, 1
russia, 1860, 1
sweden, 1870, 1
denmark, 1870, 3
austria, 1870, 4
france, 1870, 6
bulgaria, 1870, 1
united states, 1870, 6
united kingdom, 1870, 11
peru, 1870, 2
mexico, 1870, 1
ecuador, 1870, 1
belgium, 1870, 4
canada, 1870, 2
russia, 1870, 2
new zealand, 1870, 2
chile, 1870, 1
spain, 1870, 1
malta, 1870, 1
sri lanka, 1870, 1
hungary, 1870, 1
switzerland, 1870, 2
montserrat, 1870, 1
norway, 1870, 2
kosovo, 1870, 1
cuba, 1870, 1
germany, 1870, 1
brazil, 1870, 1
united kingdom, 1880, 13
